"CD_DOC";"REFERENCE"
106901;"Kuhn, R. 2009. Plan national d'actions pour la Loutre d'Europe (Lutra lutra), 2010-2015. Société Française pour l'Etude et la Protection des Mammifères et Ministère de l'écologie, de l'énergie, du développement durable et de la mer. 111 pp."
134261;"Nageleisen, L.M. & Bouget, C., coord., 2009. L'étude des insectes en forêt : méthodes et techniques, éléments essentiels pour une standardisation. Synthèse des réflexions menées par le groupe de travail ""Inventaires Entomologiques en Forêt"" (Inv.Ent.For.)"
136561;"Fiers, V. 2004. Guide Pratique. Principales méthodes d'inventaire et de suivi de la biodiversité. Réserves Naturelles de France. 263 pp."
136598;"Langlois, D. & Gilg, O. 2007. Méthode de suivi des milieux ouverts par les Rhopalocères dans les Réserves Naturelles de France. "
136603;"Manil, L. & Henry, P.-Y. 2007. Suivi Temporel des Rhopalocères de France (STERF) - Suivi Temporel des Insectes Communs (STIC) - Protocole national. 10 pp."
137054;"Société Française d'Odonatologie, Muséum national d'Histoire naturelle, 2012. Suivi temporel des Libellules (STELI). 5 pp."
137476;"Adam, Y., Béranger, C., Delzons, O., Frochot, B., Gourvil, J., Lecomte, P. & Parisot-Laprun, M. 2015. Guide des méthodes de diagnostic écologique des milieux naturels - Application aux sites de carrière. UNPG, Paris. 390 pp."
137482;"Tanguy, A. & Gourdain, P. 2011. Guide méthodologique pour les inventaires faunistiques des espèces métropolitaines terrestres (volet 2) - Atlas de la Biodiversité dans les Communes (ABC). MNHN - MEDDTL. 195 pp."
137941;"Churchfield, S., Barber, J., Quinn, C. 2000. A new survey methode for Water Shrews (Neomys fodiens) using baited tubes. Mammal Review, 30 (3-4), pls. 249-254.et "
138001;"Pocock, M. J. O., Jennings, N. 2006. Use of hair tubes to survey for shrews : new methods for identification and quantification of abundance. Mammal Review, 36 (4), pls. 299-308."
138041;"Ceyte, S. 2013. Méthodes d'inventaire et de suivi des populations de Cistude d'Europe. Formation du mardi 28 mai 2013. CEN PACA."
138241;"SHF, CNRS, EPHE, ONF & MNHN Vigie-Nature. Date inconnue. Suivi PopReptiles. 4 pp."
140288;"Muséum national d'Histoire naturelle, Office pour les insectes et leur environnement, Ministère de l'Ecologie, de l'Energie, du Développement Durable et de la Mer. 2010. SPIPOLL - Suivi photographique des insectes pollinisateurs - Le protocole en détails."
140349;"Dupont, P. 2014. Le Chronoventaire. Un protocole d'acquisition de données pour l'étude des communautés de Rhopalocères et Zygènes. Version 1. Rapport SPN 2014-22. Muséum national d'Histoire naturelle, Paris. 47 pp."
140950;"Arthur, L., Lemaire, M. 2009. Les Chauves-souris de France, Belgique, Luxembourg et Suisse. Biotope, Mèze (collection Parthénope), Muséum national d'Histoire naturelle, Paris. 544 pp."
141210;"Maciejewski, L., Seytre, L., Van Es, J. & Dupont, P. 2015. Etat de conservation des habitats agropastoraux d'intérêt communautaire, Méthode d'évaluation à l'échelle du site. Guide d'application. Version 3. SPN, MNHN, Paris. Rapport SPN 2015 - 43, 194 pp."
142449;"Société Herpétologique de France. 2014. Protocole POPAMPHIBIEN ""Communauté"". 11 pp."
142475;"Société Herpétologique de France. 2014. Protocole PopAmphibien ""Spécifique"" Abondance. 4 pp."
142478;"Société Herpétologique de France. 2014. Protocole PopAmphibien ""Spécifique"" Occurrence. 4 pp."
142554;"Muséum national d'Histoire naturelle Vigie-Nature. 2014. Protocole Point fixe, Suivi Vigie-Chiro. 11 pp."
142556;"Muséum national d'Histoire naturelle Vigie-Nature, 2007. Protocole version routier. Vigie-Chiro. 2 pp."
142559;"Muséum national d'Histoire naturelle Vigie-Nature, 2007. Protocole pédestre. Vigie-Chiro. 2 pp."
142576;"Billon, L., Sordello, R. & Touroult, J. 2015. Protocole de recensement des collisions entre la faune sauvage et les véhicules : proposition d'un socle commun. Service du patrimoine naturel, Muséum national d'Histoire naturelle, Paris. SPN 2015–40. 18 pp."
142608;"Savouré-Soubelet, A., Ruette, S., Haffner, P. & Rousset, G. 2011. Proposition de protocoles de suivi de la Martre (Martes martes), de la Belette (Mustela nivalis) et du Putois (Mustela putorius). Muséum national d'Histoire naturelle - Service du patrimoin"
142609;"Cucherat, X. & Demuynck, S. 2008. Les plans d'échantillonnage et les techniques de prélèvements des mollusques continentaux. MalaCo, 5 : 244-253."
142735;"Noé & Muséum national d'Histoire naturelle, 2014. Les protocoles de l'Opération Escargots. Observatoire de la biodiversité des jardins. 1 p."
143808;"Samaran, F., Corman, D., Spitz, J., Ridoux, V. 2015. Mise en place d'un suivi par acoustique passive des marsouins communs le long des côtes françaises. Rapport de synthèse de l'étude. Dans le cadre du programme d'acquisition de connaissances Natura 2000 "
143818;"Henry, P.Y. 2016. Protocole STOC Capture. Version 3.4. 12 pp."
143826;"Muséum national d'Histoire naturelle, LPO-Drôme, 2014. Suivi hivernal des oiseaux communs - Protocole. 3 pp."
143827;"Pettex, E., Stéphan, E., David, L., Falchetto, H., Levesque, E., Dorémus, G., Van Canneyt, O., Sterckeman, A., Bretagnolle, V., Ridoux, V. 2012. Suivi Aérien de la Mégafaune Marine dans la ZEE et la ZPE de France métropolitaine. Hiver 2011/2012 - rapport "
143837;"Réserve Naturelle Nationale de Saint-Martin, 2012. Suivi des pontes de tortues marines à Saint-Martin, bilan de la campagne 2012. 16 pp."
174328;"Roth, M. 1963. Comparaisons de méthodes de capture en écologie entomologique. Revue de pathologie végétale et d'entomologie agricole de France, 42(3): 177-197."
174329;"Fraval, A. 2002. Captures et collections II, Aspirateurs. Insectes, 124(1): 27-28."
174456;"Dommanget, J.-L. 1991. Un piège lumineux pour estimer la richesse des milieux aquatiques. Insectes, 83(4): 17-19."
174468;"Chauvin, R., Roth, M. 1966. Les récipients de couleur : technique nouvelle d'échantillonnage entomologique. Revue de Zoologie Agricole et Appliquée, (4-6): 78-81."
174497;"Defaut, B. 2010. La pratique de l'entomocénotique, 1. Elaboration du système syntaxonomique. Matériaux Orthoptériques et Entomocénotiques, 14(2009): 77-91."
174521;"Dejean, T., Valentini, A., Duparc, A., Pellier-Cuit, S., Pompanon, F., Taberlet, P., Miaud, C., 2011. Persistence of Environmental DNA in Freshwater Ecosystems. PLoS ONE 6(8): e23398."
174530;"Collectif RhoMéO, 2014. La boîte à outils de suivi des zones humides du bassin Rhône-Méditerranée. Conservatoire d'espaces naturels de Savoie. Version 1. 147 pp."
174533;"Vanappelghem, C. 2011. Inventorier les syrphes pour évaluer l'état de conservation d'un milieu. Espaces naturels, 33: 40-41."
174548;"Noé Conservation, Muséum national d'Histoire naturelle, Association Française d'Astronomie. 2014. L'enquête Insectes et ciel étoilé. Le guide observateur. 56 pp."
174549;"Noé Conservation, Muséum national d'Histoire naturelle. 2009. PROPAGE, Protocole Papillons Gestionnaires. 1 p."
174608;"Observatoire agricole de la biodiversité. 2013. Guide de terrain à l'attention des animateurs et observateurs. 42 pp."
174648;"Gay, C. 2000. Indice biologique global normalisé I.B.G.N. NF-T90-350. Guide technique. Agences de l'eau, 2ème édition."
174688;"USSEGLIO-POLATERA, P., WASSON, J.-C., ARCHAIMBAULT, V. 2009. Protocole expérimental d'échantillonnage des ""macro-invertébrés"" en cours d'eau profond. Appui scientifique à la Mise en oeuvre de la Directive Cadre Européenne sur l'Eau. Université de Metz, Ce"
174689;"Delzons O., 2015. L’Indicateur de Qualité Ecologique (IQE) et l’Indicateur de Potentialité Ecologique (IPE) - Méthodologies. Rapport SPN 2015, MNHN, Paris, 68 pp."
174711;"Office pour les insectes et leur environnement. 2011. Lucane cerf-volant. En quête d'insectes ! 4 pp."
