"CD_METHODE";"CD_METH_METIER";"LB_METHODE_COURT";"LB_METHODE_COMPLET";"LB_METHODE_EN";"URL_PERM";"URL_COMPLEMENTAIRE";"DESCR_METHODE";"EXEMPLES_CIBLE_METH";"DESCR_OBJECTIF_METH";"NATURE_DONNEES";"ANALYSE_REFERENCE";"UUID";"GELE"
2001;"M2001";"Entomocénotique";"Entomocénotique";;"https://inpn.mnhn.fr/docs-web/docs/download/174497";;"Application des principes de la phytosociologie aux communautés d'insectes (Orthoptères) : dans un secteur géographique et climatique donné, lorsque les conditions stationnelles sont les mêmes, on observe presque toujours les mêmes espèces ensemble. Des relevés orthoptériques sont effectués par identification à vue ou à l'ouïe des espèces (voire par capture directe) au cours de déplacements libres dans la station.";"Orthoptères";"Etablir une classification climatique et écologique des peuplements à partir de relevés de terrain (listes d’espèces) pour réaliser un bilan de santé des milieux en surveillance, et pour aider dans les choix conservatoires";"Occurrence, présence simple";"https://inpn.mnhn.fr/docs-web/docs/download/400859";"facb8aea-51fd-4c2b-984b-8045622ccc1a";"false"
2002;"M2002";"CMR, CR";"Capture-Marquage-Recapture / Capture-Recapture";"Capture-marking-recapture method, Capture-recapture method";"https://inpn.mnhn.fr/docs-web/docs/download/400832";"https://inpn.mnhn.fr/docs-web/docs/download/400833";"Méthode d'échantillonnage qui consiste à capturer, à marquer puis à recapturer des individus sur le même site afin d'y estimer l'abondance d'une population et sa structure démographique. En répétant les occasions de capture, le taux de reprise d’individus déjà marqués permet d'estimer une probabilité de capture, et ainsi de corriger les effectifs observés en estimant le nombre d’individus non détectés. L'abondance est estimée en fonction du taux de recapture d'individus marqués. Pour estimer la densité locale, ces valeurs d’abondance sont rapportées à la surface effectivement utilisée par les animaux détectés. Cette méthode permet aussi d'étudier les déplacements des individus et dans certains cas les dimensions de leur habitat et leur organisation spatiale. Sur le même principe, mais sans marquage, la photo-identification utilise les motifs uniques (exemple : répartition des taches sur le pelage du Lynx boréal) et autres caractères physiques propres à chaque individu (exemple : découpage de la nageoire caudale chez la Baleine à bosse) permettant une reconnaissance et un suivi individuel sur la base de photographies (correspondant à des événements de ""capture-recapture"").";"Vertébrés (Mammifères, Oiseaux, Amphibiens et reptiles, Poissons, etc.), Invertébrés (Insectes, Mollusques, etc.)";"Estimation de l'abondance et de la densité locale, suivi de l’évolution de la population dans le temps et comparaison aux estimations obtenues sur d’autres populations. Evaluation des déplacements des individus et des dimensions de leur habitat.";"Abondance absolue, nombre d'individus, surface (habitat), biomasse";"https://inpn.mnhn.fr/docs-web/docs/editDoc/400834";"9ffee127-4675-4a2c-8db7-c6676ca3b0bb";"false"
2003;"M2003";;"Distance sampling par line-transect";"Distance sampling - Line transect";"https://inpn.mnhn.fr/docs-web/docs/download/401457";;"Méthode d'échantillonnage par la distance de détection. Estimation d'abondance et de densité à partir de mesures de distances entre l’observateur et les individus observés de part et d’autre d’un transect linéaire (en ligne d'une longueur donnée) ou ponctuel (l'observateur se déplace le long d'un transect mais le relevé s'effectue sur un point fixe sur ce transect, détaillé au n°2004 de ce catalogue). Les transects sont choisis aléatoirement ou en série de lignes parallèles systématiquement espacées avec un point de départ aléatoire. La distance de chaque individu détecté par rapport à la ligne est notée, et c'est la distribution de ces distances qui permet d'estimer la proportion d'individus détectés, et donc la densité et l'abondance de la population. Cette méthode permet d'évaluer dans quelle mesure notre capacité à détecter les individus diffère dans différents habitats et à différents moments.";"Principalement les Vertébrés (Oiseaux, Mammifères) mais aussi la flore";"Evaluer l'abondance à partir de la densité d'une espèce sur un territoire donné (Abondance = Densité x surface totale obtenue sur la base des probabilités de détection en fonction de la distance) et suivre la tendance de la population.";"Abondance absolue, nombre d'individus, surface (habitat), biomasse";"https://inpn.mnhn.fr/docs-web/docs/download/400835";"12dc1e88-ac4d-4d41-bc97-20c820ba705d";"false"
2004;"M2004";;"Distance sampling par point-transect";"Distance sampling - Point transect";"https://inpn.mnhn.fr/docs-web/docs/download/401457";"https://inpn.mnhn.fr/docs-web/docs/download/401132";"Méthode d'échantillonnage par la distance de détection. Estimation d'abondance et de densité à partir de mesures de distances entre l’observateur et les individus observés de part et d’autre d’un transect linéaire (en ligne d'une longueur donnée, détaillé au n°3 de ce catalogue) ou ponctuel (l'observateur se déplace le long d'un transect mais le relevé s'effectue sur un point fixe sur ce transect). Les points sont prédéfinis. La distance de chaque individu détecté par rapport au point est notée, et c'est la distribution de ces distances qui permet d'estimer la proportion d'individus détectés, et donc la densité et l'abondance de la population. Elle permet d'évaluer dans quelle mesure notre capacité à détecter les individus diffère dans différents habitats et à différents moments. Cette méthode est surtout utilisée pour les points d'écoute d'oiseaux pendant la reproduction, mais aussi pour certains mammifères discrets lorsqu'on utilise des points-pièges et / ou des points appâtés : ces derniers attirent les individus vers un point, et permettent potentiellement une estimation de l'abondance des espèces qui peuvent être piégées, avec moins de ressources nécessaires que les campagnes de piégeage classiques et les méthodes conventionnelles de marquage-recapture.";"Plutôt les oiseaux chanteurs, mais aussi les mammifères";"Evaluer l'abondance à partir de la densité d'une espèce sur un territoire donné (Abondance = Densité x surface totale obtenue sur la base des probabilités de détection en fonction de la distance) et suivre la tendance de la population";"Abondance absolue, nombre d'individus, surface (habitat), biomasse";"https://inpn.mnhn.fr/docs-web/docs/download/400835";"aa8799f1-1d0d-4c32-9d68-ff769435fb48";"false"
2005;"M2005";"IHA";"Indice Horaire d'Abondance (IHA)";;"https://inpn.mnhn.fr/docs-web/docs/download/174497";;"Méthode d'évaluation de l'abondance d'une population par comptage pendant une heure de déplacement libre sur une station. Les comptages obtenus sont ramenés à l’unité de temps (i.e. 1 heure), pour aboutir à un indice horaire d’abondance propre à chaque espèce (et à un indice cénotique global, toutes espèces confondues, qui est la somme des indices précédents). Cet indice permet ensuite de déterminer le nombre d’individus pour 100 m2.";"Orthoptères";"Evaluer l'abondance et la densité d'une population, suivi dans le temps";"Abondances relatives (proportion, recouvrement) non stratifiées";"https://inpn.mnhn.fr/docs-web/docs/download/400860";"f4399bfc-18a8-4c25-b1cf-abb86cb90e35";"false"
2006;"M2006";"IKA";"Indice Kilométrique d'Abondance (IKA)";"Kilometric Index of Abundance (KIA)";"https://inpn.mnhn.fr/docs-web/docs/download/400846";;"Méthode de mesure de l'abondance relative d'espèces le long d'un circuit. Trajet parcouru par l'observateur à vitesse constante, espèces rencontrées (vues, entendues ou indices de présence) notées tout comme leur position sur le transect (avec répétition). L'indice exprime le rapport du nombre total d'individus (ou d'indices de présence) observés le long d'un transect sur la longueur totale du transect parcouru sur chaque site.";"Principalement les Vertébrés (Mammifères, Oiseaux)";"Estimation de l'abondance relative d'une population permettant une comparaison de l'abondance des espèces entre différents sites et/ou à différents moments (si les recensements sont effectués à intervalles réguliers). L'IKA exprime la rapport du nombre total d'individus (ou d'indices de présence) observés le long d'un transect par le total de la longueur du transect parcouru sur chaque site.";"Abondances relatives (proportion, recouvrement) non stratifiées";"https://inpn.mnhn.fr/docs-web/docs/download/400846";"df63d867-0682-44d4-9e1f-61d10f0e205f";"false"
2007;"M2007";"ILA";"Indice Linéaire d'Abondance (ILA)";;"https://inpn.mnhn.fr/docs-web/docs/download/179030";"https://inpn.mnhn.fr/docs-web/docs/download/391739";"Méthode relative d'estimation de l'abondance d'une population. L'observateur effectue différents transects linéaires de 10 m sans recoupement sur lesquels il compte le nombre d'individus observés (sur une bande d’environ un mètre de largeur).";"Orthoptères, Coléoptères, Diptères, Lépidoptères";"Estimation de l'abondance relative d'une population et de ses variations au cours du temps.";"Abondances relatives (proportion, recouvrement) non stratifiées";"https://inpn.mnhn.fr/docs-web/docs/download/179030";"e117e737-232b-48c4-ad6f-72829c6f2b7f";"false"
2008;"M2008";"IPA";"Point d'écoute ou Indice Ponctuel d'Abondance (IPA)";"Punctual Index Abundance (PIA)";"https://inpn.mnhn.fr/docs-web/docs/download/400869";;"Méthode d'estimation de l'abondance relative d'une population et de ses variations au cours du temps. Repose sur un point d'écoute (ou d'observation) fixe de durée limitée (20 mn dans la version de Blondel 1970) sur lequel l'observateur recense l'ensemble des espèces contactées (observées et / ou entendues) sans limitation de distance, avec répétition de la session de comptage. Cette méthode a été étendue à des durées différentes de la version de Blondel (1970) et l’indice correspond au nombre moyen d'individus observés ou entendus par secteur pendant cette durée. Dans son principe cette méthode est analogue à celle des IKA (référencée au n°2006 de ce catalogue) à la différence près qu'au lieu de parcourir un itinéraire donné sur une distance de longueur connue, l'observateur reste immobile pendant une durée déterminée.";"Mammifères, Oiseaux (surtout Passereaux chanteurs)";"Estimation de l'abondance relative d'une population et ses variations au cours du temps. Permet de comparer l'abondance relative d'une espèce dans des milieux différents à condition que la détectabilité de l'espèce soit constante, comparer des IPA d'une espèce dans un même milieu plusieurs années de suite et faire apparaître une évolution en fonction de certaines variables (météorologie par exemple). Ces comparaisons se font espèce par espèce.";"Abondances relatives (proportion, recouvrement) non stratifiées";"https://inpn.mnhn.fr/docs-web/docs/download/201608";"91684177-a844-4a99-bfc9-102a79ad0d37";"false"
2009;"M2009";;"Capture-suivi (radiotracking, radiopistage, radiotélémesure)";"radiotracking";"https://inpn.mnhn.fr/docs-web/docs/download/400873";;"Méthode de localisation et suivi des déplacements des individus marqués par un émetteur radio (émetteurs d’ondes métriques (VHF), terminal de l’émetteur de la plateforme (PTT) et émetteurs satelittaires du Système de positionnement global (GPS, Argos)) et toute autre technologie ayant la même finalité (communications cellulaires, géolocalisation solaire, radar, etc.).";"Mammifères, Oiseaux, Amphibiens et reptiles mais aussi les invertébrés (certains insectes comme les bourdons)";"Mesurer les déplacements et/ou l'utilisation de l’espace par un individu (estimation de la taille du domaine vital, mise en évidence de la sélection de l'habitat). Fournit aussi des informations sur la dynamique de population (exemple : étudier les mécanismes reliant le succès de reproduction à la disponibilité en nourriture), les causes de mortalité, certains comportements, etc.";"Autres (état de santé, conservation...)";"https://inpn.mnhn.fr/docs-web/docs/download/400874";"6e361c53-4d09-44ff-8678-a4b6f5922236";"false"
2010;"M2010";;"Présence-absence, occupation de site (site occupancy)";"site occupancy, presence-absence";"https://inpn.mnhn.fr/docs-web/docs/download/400863";;"Méthode d'estimation de la probabilité de présence d'une espèce sur un site par la répétition d'observations (présence-absence) en tenant compte de sa détectabilité. Evalue la proportion de sites occupés, dont la valeur est corrigée par la probabilité de détection de l’espèce.";"Mammifères, Oiseaux, Amphibiens et Reptiles, Poissons, Insectes (Odonates), etc.";"Évaluer la répartition, la probabilité de présence d'une espèce sur un site ou encore la dynamique de population, et la tendance d’évolution d'une population sur un site en regardant la proportion de sites occupés (ou probabilité de présence) par une espèce à un temps t. Plusieurs visites sont répétées afin d’estimer la probabilité de détection, elle-même utilisée pour corriger l’estimation de la probabilité de présence. L’évolution de cette probabilité de présence au cours du temps, est un bon indicateur de la tendance des populations. Aussi utilisée pour suivre la propagation de maladies.";"Présence-absence, site occupancy";"https://inpn.mnhn.fr/docs-web/docs/download/400875";"8d5bf76c-06ae-4ae7-a176-f35e578a13b7";"false"
