"CD_PROTOCOLE";"CD_ATTRIBUT"
1;8
1;12
1;25
1;145
2;8
2;20
2;22
2;25
2;26
2;29
3;8
3;14
3;23
3;25
3;145
4;8
4;14
4;23
4;25
4;145
5;9
5;17
5;18
5;21
5;22
5;25
5;26
5;28
5;29
6;9
6;18
6;21
6;22
6;25
6;26
6;28
6;29
7;1
7;2
7;6
7;8
7;9
7;17
7;18
7;21
7;27
7;28
7;29
7;30
7;144
8;1
8;2
8;6
8;8
8;9
8;16
8;17
8;18
8;21
8;27
8;28
8;29
8;30
8;144
9;7
9;12
9;13
9;14
9;23
9;25
9;29
10;7
10;12
10;13
10;14
10;23
10;25
10;29
11;7
11;12
11;13
11;14
11;23
11;25
11;29
12;7
12;12
12;13
12;14
12;23
12;25
12;29
13;7
13;12
13;13
13;14
13;23
13;25
13;29
14;7
14;12
14;13
14;14
14;23
14;25
14;29
15;7
15;12
15;13
15;14
15;23
15;25
15;29
16;6
16;19
16;21
16;22
16;25
16;26
16;29
17;12
17;17
17;19
17;21
17;28
17;29
17;144
18;12
18;17
18;19
18;21
18;28
18;29
18;144
19;3
19;19
19;21
19;22
19;25
19;26
19;29
20;3
20;19
20;21
20;22
20;25
20;26
20;29
21;9
21;17
21;18
21;19
21;21
21;26
21;28
21;29
21;144
22;6
22;16
22;17
22;18
22;21
22;23
22;25
22;26
22;29
25;8
25;12
25;13
25;23
25;25
25;26
25;29
25;33
26;6
26;16
26;18
26;22
26;23
26;25
26;27
26;29
27;2
27;16
27;17
27;18
27;19
27;21
27;22
27;23
27;25
27;26
27;27
27;29
28;5
28;6
28;16
28;18
28;19
28;21
28;22
28;23
28;25
28;26
28;27
28;29
29;6
29;16
29;18
29;19
29;21
29;22
29;23
29;25
29;26
29;27
29;29
30;5
30;16
30;18
30;21
30;22
30;25
30;26
30;27
30;29
31;5
31;21
31;22
31;25
31;26
31;27
31;29
32;6
32;16
32;18
32;19
32;21
32;22
32;23
32;25
32;27
32;29
33;6
33;16
33;17
33;18
33;19
33;21
33;22
33;23
33;25
33;26
33;29
34;9
34;21
34;23
34;25
34;26
34;28
34;29
35;2
35;14
35;16
35;18
35;21
35;22
35;25
35;26
35;29
36;2
36;14
36;16
36;18
36;19
36;21
36;22
36;25
36;26
36;27
36;29
37;2
37;14
37;16
37;18
37;19
37;21
37;22
37;25
37;26
37;27
37;29
38;2
38;20
38;22
38;25
38;26
38;29
39;2
39;14
39;16
39;18
39;19
39;21
39;22
39;25
39;26
39;27
39;29
40;1
40;13
40;21
40;23
40;25
40;26
40;29
40;30
41;1
41;13
41;21
41;23
41;25
41;26
41;29
41;30
42;1
42;13
42;21
42;23
42;25
42;29
42;30
43;1
43;13
43;21
43;23
43;25
43;29
43;30
44;1
44;13
44;21
44;23
44;25
44;26
44;29
44;30
45;1
45;13
45;21
45;23
45;25
45;29
45;30
46;1
46;13
46;21
46;23
46;25
46;29
46;30
47;1
47;13
47;21
47;23
47;25
47;26
47;29
47;30
48;1
48;13
48;15
48;18
48;23
48;25
48;26
48;29
49;1
49;14
49;21
49;25
49;26
49;29
50;1
50;13
50;21
50;23
50;25
50;26
50;29
51;1
51;12
51;16
51;18
51;21
51;23
51;25
51;26
51;27
51;29
52;8
52;11
52;16
52;25
52;27
52;29
52;30
52;33
53;6
53;17
53;21
53;25
53;26
53;28
53;33
54;1
54;13
54;16
54;18
54;21
54;23
54;25
54;26
54;27
54;29
54;30
55;1
55;13
55;18
55;21
55;23
55;25
55;26
55;27
55;29
56;6
56;17
56;18
56;21
56;25
56;26
56;27
56;29
57;7
57;12
57;16
57;21
57;23
57;24
57;25
57;27
57;30
58;6
58;17
58;18
58;21
58;25
58;26
58;27
58;30
59;1
59;2
59;7
59;8
59;11
59;18
59;19
59;25
59;27
59;29
60;2
60;6
60;9
60;16
60;17
60;18
60;19
60;21
60;25
60;26
60;30
61;12
61;17
61;28
61;29
61;144
62;9
62;12
62;17
62;28
62;29
63;7
63;13
63;18
63;19
63;23
63;25
63;29
64;9
64;12
64;16
64;17
64;25
64;27
64;29
65;7
65;12
65;14
65;21
65;23
65;25
65;29
66;17
66;18
66;19
66;24
66;28
66;30
66;144
67;7
67;12
67;13
67;18
67;19
67;23
67;24
67;25
67;29
68;7
68;8
68;9
68;14
68;17
68;18
68;19
68;21
68;25
68;28
68;29
68;144
69;7
69;8
69;9
69;14
69;17
69;18
69;19
69;21
69;25
69;28
69;29
69;144
70;4
70;6
70;16
70;18
70;25
70;27
70;28
70;33
71;6
71;12
71;21
71;25
71;26
71;29
72;9
72;12
72;22
72;23
72;24
72;25
72;26
72;29
72;30
73;3
73;12
73;16
73;21
73;25
73;26
73;27
73;29
