"CD_PROT_ECHANTILLONNAGE";"CD_PROTOCOLE";"UNITE";"NB_UNITE";"DUREE";"TAILLE";"PASSAGES_AN";"PERIODE_AN";"PLAN_ECH";"COMMENTAIRE";"NIVEAU"
1;1;"mailles";"5879";"20h à 60h/homme par maille";"10x10 km";;"Toute l’année";;;"1"
2;2;"point d’observation (mangeoire)";"2 (séparés de 1 à 2m)";"5'";"21 x 29,7 cm";"Autant que souhaité";"15/11 au 31/03";"Subjectif/orienté";"Pour habituer les oiseaux à se nourrir sur vos mangeoires, garnissez-les de nourriture 48 heures avant de commencer l’expérience.";"1"
3;3;"Point d’écoute";;"5'";"rayon de 200m maximum";"Autant que souhaité";"01/03 au 30/06 (matinées : 30 minutes après le lever du soleil jusqu’à 12h)";"Aléatoire simple";;"1"
4;4;"Point d’écoute";;"5'";;"Autant que souhaité";"01/03 au 30/06 (matinées : 30 minutes après le lever du soleil jusqu’à 12h)";"Aléatoire simple";;"1"
5;5;"Lot";"2";;">130 m2";"1/an";"01/06 au 31/07";"Aléatoire simple";"2 lots de 5 carrés
1 m2) placés à 2 m du centre de la
prairie";"1"
5002;5;"Carré";"5/lot";;"1x1 m";;;"Systématique";;"2"
6;6;"Carré (toiture)";"1";;;"1/an";;"Subjectif/orienté";"Le relevé doit se faire le même jour que l’entretien et l’arrachage des végétaux indésirables.";"1"
7;7;"Itinéraire choisi";"1";"Journée (6h à 9h de terrain)";;"1 (dont aube)";"01/04 au 30/06";;;"1"
8;8;"Itinéraire choisi";"1";"Journée (6h à 9h de terrain)";"5 km pour chaque 50 ha";"4 passages (incluant total 6 j + 1 soir + 2 aube)";"01/04 au 15/05; 16/05 au 30/06; 01/07 au 31/07; 01/08 au 15/09";"Subjectif/orienté";"2 observateurs";"1"
8002;8;"Point d’écoute";"1 point d’écoute pour 8 à 10 ha";"10’ (5+5)";"rayon de 150 m minimum";"2 (aube)";"01/04 au 15/05 et 16/05 au 30/06";"Subjectif/orienté";;"2"
9;9;"Itinéraire choisi";"1";"30' à 1h";"<50 km";"4";"15/05 au 15/06";"Subjectif/orienté";"1 pilote, 1 observateur. Les observations sont réalisées soit le matin soit le soir, dans les
2 heures qui suivent l’aube ou qui précèdent le crépuscule.";"1"
10;10;"Itinéraire choisi";"Indéfini";"2h à 3h maximum";;"4 au minimum";"01/06 au 31/08";"Subjectif/orienté";"1 observateur, 1 accompagnateur.";"1"
11;11;"Itinéraire choisi";"minimum 3 km de circuit pour 100 ha.";"2h à 3h maximum";"5 à 7 km";"4 au minimum (2 à l’aube et 2
au crépuscule)";" mars (ou avril en montagne)";"Subjectif/orienté";;"1"
12;12;"Itinéraire choisi";"minimum 2 km de circuit pour 100 ha";"2h à 3h maximum";"25 à 30 km";"4 au minimum (2 à l’aube et 2
au crépuscule)";"mars (ou avril en montagne)";"Subjectif/orienté";"2 personnes";"1"
13;13;"Itinéraire choisi";"minimum 3 km de circuit pour 100 ha";"2h à 3h maximum";"30 à 35 km";"4";"fin hiver-début printemps";"Subjectif/orienté";"4 personnes";"1"
14;14;"Secteur";"suffisament pour ’assurer une couverture homogène et représentative de
la zone";"2h à 3h";;"4 au minimum, 8 idéalement";"15/05 au 15/06";"Subjectif/orienté";"2 personnes";"1"
14002;14;"Point d’observation";"3 ou 4";"15'";;;;"Subjectif/orienté";;"2"
15;15;"Itinéraire choisi";;"2h à 3h maximum";;;" entre mars et ma";"Subjectif/orienté";"2 personnes. Chaque circuit est répété jusqu’à ce qu’au moins 30 groupes de
bouquetins soient détectés sur l’ensemble des sorties et des
circuits.";"1"
17;17;"Grille";"1";;;"1/an";;"Systématique";;"1"
17002;17;"Rectangle (maille)";"5";;"2 km2";"2 cycles/an";;"Aléatoire simple";;"2"
17003;17;"Points/transectes";"environ 7 000 points au total/an";;"12m";"1/an. Point revisité tous les 5 ans";;"Aléatoire simple";;"3"
18;18;"Grille";"1";;;"1/an";;"Systématique";;"1"
18002;18;"Rectangle (maille)";"5";;"2 km2";"2 cycles";;"Aléatoire simple";;"2"
