"CD_TECHNIQUE";"LB_TECHNIQUE_FR";"NIVEAU";"CD_TECH_METIER";"CD_TECH_SUP";"LB_TECH_COMPLET_FR";"LB_TECHNIQUE_EN";"CATEGORIE_TECH";"CIBLE";"DESCR_TECHNIQUE";"DESCR_CIBLE_TECH";"ACTIVE";"DERANGEMENT";"PRELEVEMENT";"COMM_COLLECTE";"CORRESP_OCCTAX";"CORRESP_SOH";"TAG_TAX";"TAG_HAB";"UUID";"GELE"
1001;"Fauchage terrestre au filet fauchoir";"2";"T1001";1180;"Fauchage terrestre au filet fauchoir, fauchage de la végétation";"Sweep net";"Capture/piégeage/prélèvement";"Multi-groupes";"Fauche de la végétation par filet fauchoir. Rendement faible, nécessite bonnes connaissances, biais de capture. Prélèvement possible des individus non déterminables in situ. Peu d'installation mais temps de mise en œuvre long.";"Lépidoptères Rhopalocères et Zygaenidae, Hyménoptères, Odonates, Coléoptères floricoles, Orthoptères, Hémiptères, Névroptères, Pollinisateurs, phytophages, floricoles, saproxyliques, terricoles, mollusques terrestres, araignées (liste non exhaustive)";"Active";"Dérangement";"Prélèvement sélectif";;;;"true";"false";"118cae15-c1ee-4a07-8c8c-d805a8f5f861";"false"
1002;"Ecorçage";"2";"T1002";1180;"Ecorçage";;"Capture/piégeage/prélèvement";"Insectes et araignées";"L'opérateur décortique des habitats liés au bois mort, puis examen immédiat des matériaux ou capture. Rendement faible, nécessite bonnes connaissances, biais de capture. Possibilité de combiner à d'autres méthodes (aspirateur à bouche, tamisage Berlèse…)";"Lépidoptères Rhopalocères et Zygaenidae, Hyménoptères, Odonates, Coléoptères floricoles, Orthoptères, Hémiptères, Névroptères, Pollinisateurs, phytophages, floricoles, saproxyliques, terricoles, etc.";"Active";"Dérangement";"Prélèvement sélectif";"Peut être sélectif.";;;"true";"false";"ac487a7a-3a69-4b09-be5a-379d6a151669";"false"
1003;"Brossage terrestre (écorces…)";"2";"T1003";1180;"Brossage terrestre (écorces…)";;"Capture/piégeage/prélèvement";"Insectes et araignées";"Frottement du tronc d'un arbre sur une zone définie et récupération des invertébrés qui tombent. Rendement faible, nécessite bonnes connaissances. Biais de capture.";"Lépidoptères Rhopalocères et Zygaenidae, Hyménoptères, Odonates, Coléoptères floricoles, Orthoptères, Hémiptères, Névroptères, Pollinisateurs, phytophages, floricoles, saproxyliques, terricoles, etc.";"Active";"Dérangement";"Prélèvement sélectif";"Peut être sélectif.";;;"true";"false";"3364e192-27e3-4db7-ad75-9d7a06ca7513";"false"
1004;"Battage (battage de la végétation, parapluie japonais)";"2";"T1004";1180;"Battage (battage de la végétation, parapluie japonais)";;"Capture/piégeage/prélèvement";"Insectes et araignées";"L'opérateur secoue les branches d'arbres/arbustes ou les frappe avec un bâton de façon à faire tomber les invertébrés sur une bâche ou un entonnoir. Rendement faible, nécessite bonnes connaissances, biais de capture.";"Lépidoptères Rhopalocères et Zygaenidae, Hyménoptères, Odonates, Coléoptères floricoles, Orthoptères, Hémiptères, Névroptères, Pollinisateurs, phytophages, floricoles, saproxyliques, terricoles, etc. ; Mollusques terrestres, Arachnides";"Active";"Dérangement";"Prélèvement sélectif";"Peut être sélectif.";;;"true";"false";"2aeec8a9-ad73-4c78-bd6b-68547b43beb4";"false"
1005;"Observation directe simple diurne (avec ou sans capture à vue)";"2";"T1005";1179;"Observation directe simple diurne (avec ou sans capture à vue)";;"Observation/prospection à vue";"Multi-groupes";"Observation directe, sans matériel particulier, avec ou sans capture (inclut l'utilisation de petit matériel : filet à papillons, aspirateur à bouche, pince à Mordelle). Peut être sélectif. Dérangement possible lié à la présence de l'observateur.";"Potentiellement tous groupes faune et flore, habitats.";"Active";"Dérangement";"Pas de prélèvement";;;;"true";"true";"a9be4690-fc49-4b73-8da5-6dfde29fbc69";"false"
1006;"Fumigation (fogging, thermonébulisation insecticide)";"2";"T1006";1192;"Fumigation (fogging, thermonébulisation insecticide)";"Fogging";"Capture/piégeage/prélèvement";"Insectes et araignées";"Pulvérisation d'insecticide (Pyréthrine). Toxique pour l'homme et l'environnement. Coûteux et complexe. Efficace sur les plantes de grande taille ; inefficace sur les insectes fixés à la plante.";"Tous les invertébrés non fixés sur la plante-hôte ou leur support";"Active";"Dérangement";"Prélèvement systématique";"Toute la communauté piégée est collectée.";;;"true";"false";"0d715c1f-cc4f-499d-836b-489d033d3f08";"false"
1007;"Capture par aspiration moteur type D-VAC (aspirateur à moteur)";"2";"T1007";1187;"Capture par aspiration moteur type D-VAC (aspirateur à moteur)";;"Capture/piégeage/prélèvement";"Insectes et araignées";"Aspiration verticalement au sol, durée et superficie prédéfinies. Permet d'estimer des abondances absolues. Efficacité qui dépend de l'observateur, de la puissance d'aspiration. Lourd et autonomie restreinte.";"Insectes phytophages, pollinisateurs, prédateurs etc. présents sur la végétation herbacée (Hémiptères Auchenorhyncha, Homoptères aphidiens, etc.)";"Active";"Dérangement";"Prélèvement systématique";"Non-sélectif. Dégâts sur les espèces les plus fragiles.";;;"true";"false";"8252c186-bd72-47b8-bae9-50163988a363";"false"
1008;"Observation photographique marine/aquatique (en plongée)";"2";"T1008";1181;"Observation photographique marine/aquatique (en plongée)";;"Prise de vue/imagerie";"Multi-groupes";"Observation en plongée avec prise de photographie. Dérangement possible lié à la présence de l'observateur.";"Tous les organismes marins et aquatiques (faune et flore)";"Active";"Dérangement";"Pas de prélèvement";;;;"true";"true";"cc64a3b4-d63a-4287-9c90-7793609828db";"false"
1009;"Capture par sélecteur de Chauvin";"2";"T1009";1192;"Capture par sélecteur de Chauvin";;"Capture/piégeage/prélèvement";"Insectes et araignées";"Caisson en 2 parties qui emprisonne plante/invertébrés. Permet d'estimer valeurs absolues et échantillonnage par strate et hauteur de végétation. Version à bord tranchant nécessite prélèvement de la végétation (destruction de l'habitat).";"Insectes phytophages, pollinisateurs, prédateurs etc. présents sur la végétation herbacée (Hémiptères Auchenorhyncha, Homoptères aphidiens, etc.)";"Active";"Dérangement";"Prélèvement systématique";;;;"true";"false";"92d4c267-0cec-48d9-9bde-87a1021f3746";"false"
1010;"Piégeage par piège-vitre bidirectionnel - variante ""bande noire"" mimant une cavité";"2";"T1010";1195;"Piégeage par piège-vitre bidirectionnel - variante ""bande noire"" mimant une cavité";;"Capture/piégeage/prélèvement";"Insectes et araignées";"Piège-vitre interceptant les insectes en vol avec deux plans (bidirectionnels) et une gouttière de récolte de type « jardinière » dans laquelle les insectes se laissent tomber. Ajout potentiel d'une bande noire sur la vitre (attraction de xylophages).";"Insectes volants lourds qui se laissent tomber lors d'un choc contre un obstacle. Saproxyliques, Coléoptères, Hyménoptères, Diptères, Homoptères, Hétéroptères";"Passive";"Dérangement";"Prélèvement systématique";;;;"true";"false";"6ae3d426-af8d-4a4e-908a-5a79b72b1381";"false"
