"CD_TECHNIQUE";"CD_ATTRIBUT"
1001;5
1001;6
1001;29
1001;36
1001;48
1001;81
1001;95
1002;6
1002;29
1002;39
1002;45
1002;46
1002;48
1002;58
1002;74
1002;95
1002;101
1002;123
1003;6
1003;29
1003;36
1003;48
1003;54
1003;95
1003;101
1004;5
1004;6
1004;29
1004;36
1004;51
1004;95
1004;101
1005;1
1005;2
1005;3
1005;4
1005;5
1005;6
1005;7
1005;8
1005;9
1005;10
1005;29
1005;30
1005;33
1005;144
1006;6
1006;29
1006;38
1006;90
1006;132
1007;6
1007;29
1007;38
1007;47
1008;1
1008;2
1008;4
1008;5
1008;6
1008;7
1008;9
1008;10
1008;30
1008;31
1008;32
1008;144
1009;6
1009;29
1009;39
1009;133
1010;6
1010;29
1011;6
1011;29
1012;1
1012;6
1012;7
1012;8
1012;29
1013;6
1013;29
1013;38
1013;83
1014;6
1014;29
1014;38
1014;48
1014;95
1014;109
1015;6
1015;29
1015;38
1015;48
1015;95
1015;138
1016;6
1016;29
1016;38
1016;124
1017;6
1017;29
1017;114
1018;6
1018;29
1018;38
1018;113
1019;6
1019;29
1019;83
1020;4
1020;6
1020;29
1020;38
1020;48
1020;95
1021;6
1021;29
1021;48
1021;95
1021;111
1021;124
1022;2
1022;4
1022;5
1022;32
1023;6
1023;29
1023;38
1023;48
1023;72
1023;95
1024;2
1024;4
1024;5
1024;29
1024;33
1026;1
1026;2
1026;3
1026;4
1026;5
1026;6
1026;7
1026;8
1026;9
1026;10
1026;29
1027;6
1027;29
1027;38
1027;72
1027;100
1028;6
1028;29
1028;38
1028;39
1028;48
1028;75
1028;95
1030;4
1030;6
1030;29
1030;38
1030;48
1030;95
1030;109
1030;131
1030;138
1031;1
1031;5
1031;6
1031;30
1031;85
1032;1
1032;6
1032;30
1032;38
1032;84
1033;5
1033;6
1033;30
1033;39
1033;80
1033;89
1034;6
1034;29
1034;79
1035;5
1035;6
1035;30
1035;39
1035;50
1035;52
1036;1
1036;4
1036;7
1036;10
1036;30
1036;31
1036;32
1037;1
1037;4
1037;7
1037;10
1037;30
1037;31
1037;32
1038;6
1038;30
1038;38
1038;104
1039;6
1039;30
1039;38
1039;72
1039;103
1040;2
1040;4
1040;5
1040;32
1041;2
1041;4
